,HC_ID,GEOID,dist,trvl_time
157673,H100,48367140405,0,-999.0
157674,H100,48367140601,0,-999.0
157675,H100,48367140200,0,-999.0
157676,H100,48367140602,0,-999.0
157677,H100,48367140300,0,-999.0
157678,H100,48367140403,0,-999.0
157699,H100,48121020204,0,-999.0
157700,H100,48121020205,0,-999.0
157701,H100,48121020115,0,-999.0
157702,H100,48121021405,0,-999.0
157703,H100,48121021515,0,-999.0
157704,H100,48121021527,0,-999.0
157705,H100,48121020114,0,-999.0
157706,H100,48121020506,0,-999.0
157707,H100,48121020504,0,-999.0
157708,H100,48121020308,0,-999.0
157709,H100,48121021304,0,-999.0
157710,H100,48121021718,0,-999.0
157711,H100,48121021513,0,-999.0
157713,H100,48121021720,0,-999.0
157715,H100,48121021625,0,-999.0
157728,H100,48085030519,0,-999.0
157742,H100,48347950200,0,-999.0
157746,H100,48221160301,0,-999.0
157747,H100,48221160204,0,-999.0
157783,H100,48439110901,0,-999.0
157788,H100,48367140502,0,-999.0
157789,H100,48367140411,0,-999.0
157790,H100,48367140501,0,-999.0
157791,H100,48367140410,0,-999.0
157792,H100,48367140704,0,-999.0
157793,H100,48367140705,0,-999.0
157839,H100,48073950802,0,-999.0
157840,H100,48073950801,0,-999.0
157843,H100,48439113612,0,-999.0
157847,H100,48121021900,0,-999.0
157848,H100,48121021522,0,-999.0
157849,H100,48121020505,0,-999.0
157850,H100,48121021746,0,-999.0
157851,H100,48121021719,0,-999.0
157852,H100,48121021747,0,-999.0
157861,H100,48085031504,0,-999.0
157865,H100,48251130213,0,-999.0
157866,H100,48251130602,0,-999.0
157867,H100,48251130212,0,-999.0
157872,H100,48251130601,0,-999.0
157873,H100,48251130214,0,-999.0
157877,H100,48439102401,0,-999.0
157888,H100,48471790400,0,-999.0
157889,H100,48439113803,0,-999.0
157890,H100,48439113808,0,-999.0
157892,H100,48499950602,0,-999.0
157893,H100,48499950301,0,-999.0
157894,H100,48499950601,0,-999.0
157906,H100,48225950700,0,-999.0
157907,H100,48225950200,0,-999.0
157908,H100,48225950100,0,-999.0
157909,H100,48225950500,0,-999.0
157910,H100,48225950600,0,-999.0
157911,H100,48225950300,0,-999.0
157912,H100,48439113212,0,-999.0
157913,H100,48439113213,0,-999.0
157914,H100,48439113214,0,-999.0
157915,H100,48439113215,0,-999.0
157916,H100,48439113216,0,-999.0
157917,H100,48439113217,0,-999.0
157921,H100,48143950202,0,-999.0
157922,H100,48143950201,0,-999.0
157923,H100,48225950400,0,-999.0
157924,H100,48223950402,0,-999.0
