"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"2763","303","1400000US48029150800","Census Tract 1508, Bexar County, Texas"
"6956","599","1400000US48029150900","Census Tract 1509, Bexar County, Texas"
"4003","578","1400000US48029151000","Census Tract 1510, Bexar County, Texas"
"8115","788","1400000US48029151100","Census Tract 1511, Bexar County, Texas"
"11162","844","1400000US48029151200","Census Tract 1512, Bexar County, Texas"
"5947","529","1400000US48029151301","Census Tract 1513.01, Bexar County, Texas"
"3744","306","1400000US48029151302","Census Tract 1513.02, Bexar County, Texas"
"5501","649","1400000US48029151400","Census Tract 1514, Bexar County, Texas"
"2625","241","1400000US48029151500","Census Tract 1515, Bexar County, Texas"
"8616","803","1400000US48029151600","Census Tract 1516, Bexar County, Texas"
"7506","665","1400000US48029151700","Census Tract 1517, Bexar County, Texas"
"7312","985","1400000US48029151900","Census Tract 1519, Bexar County, Texas"
"3160","319","1400000US48029152000","Census Tract 1520, Bexar County, Texas"
"4885","618","1400000US48029152100","Census Tract 1521, Bexar County, Texas"
"7136","913","1400000US48029152201","Census Tract 1522.01, Bexar County, Texas"
"5529","528","1400000US48029152202","Census Tract 1522.02, Bexar County, Texas"
"7160","662","1400000US48029160100","Census Tract 1601, Bexar County, Texas"
"3327","416","1400000US48029160200","Census Tract 1602, Bexar County, Texas"
"5471","555","1400000US48029160300","Census Tract 1603, Bexar County, Texas"
"5339","837","1400000US48029160400","Census Tract 1604, Bexar County, Texas"
"4455","570","1400000US48029160501","Census Tract 1605.01, Bexar County, Texas"
"4572","558","1400000US48029160502","Census Tract 1605.02, Bexar County, Texas"
"5287","531","1400000US48029160600","Census Tract 1606, Bexar County, Texas"
"3831","432","1400000US48029160701","Census Tract 1607.01, Bexar County, Texas"
"5544","595","1400000US48029160702","Census Tract 1607.02, Bexar County, Texas"
"2620","314","1400000US48029160901","Census Tract 1609.01, Bexar County, Texas"
"5334","681","1400000US48029160902","Census Tract 1609.02, Bexar County, Texas"
"4101","565","1400000US48029161000","Census Tract 1610, Bexar County, Texas"
"9720","858","1400000US48029161100","Census Tract 1611, Bexar County, Texas"
"2939","273","1400000US48029161200","Census Tract 1612, Bexar County, Texas"
"6129","479","1400000US48029161302","Census Tract 1613.02, Bexar County, Texas"
"4505","475","1400000US48029161303","Census Tract 1613.03, Bexar County, Texas"
"4639","505","1400000US48029161304","Census Tract 1613.04, Bexar County, Texas"
"6490","731","1400000US48029161400","Census Tract 1614, Bexar County, Texas"
"8236","964","1400000US48029161501","Census Tract 1615.01, Bexar County, Texas"
"5401","736","1400000US48029161503","Census Tract 1615.03, Bexar County, Texas"
"4401","545","1400000US48029161504","Census Tract 1615.04, Bexar County, Texas"
"4880","640","1400000US48029161600","Census Tract 1616, Bexar County, Texas"
"4296","436","1400000US48029161801","Census Tract 1618.01, Bexar County, Texas"
"10237","1115","1400000US48029161802","Census Tract 1618.02, Bexar County, Texas"
"927","214","1400000US48029161901","Census Tract 1619.01, Bexar County, Texas"
"10698","1100","1400000US48029161902","Census Tract 1619.02, Bexar County, Texas"
"2122","266","1400000US48029162001","Census Tract 1620.01, Bexar County, Texas"
"4752","480","1400000US48029162003","Census Tract 1620.03, Bexar County, Texas"
"3446","569","1400000US48029162004","Census Tract 1620.04, Bexar County, Texas"
"3881","473","1400000US48029170101","Census Tract 1701.01, Bexar County, Texas"
"3514","664","1400000US48029170102","Census Tract 1701.02, Bexar County, Texas"
"5599","617","1400000US48029170200","Census Tract 1702, Bexar County, Texas"
"6455","555","1400000US48029170300","Census Tract 1703, Bexar County, Texas"
"4298","519","1400000US48029170401","Census Tract 1704.01, Bexar County, Texas"
"5394","653","1400000US48029170402","Census Tract 1704.02, Bexar County, Texas"
"4648","792","1400000US48029170500","Census Tract 1705, Bexar County, Texas"
"4591","453","1400000US48029170600","Census Tract 1706, Bexar County, Texas"
"5057","822","1400000US48029170700","Census Tract 1707, Bexar County, Texas"
"1740","148","1400000US48029170800","Census Tract 1708, Bexar County, Texas"
"3696","420","1400000US48029170900","Census Tract 1709, Bexar County, Texas"
"6221","709","1400000US48029171000","Census Tract 1710, Bexar County, Texas"
"3736","477","1400000US48029171100","Census Tract 1711, Bexar County, Texas"
"4065","593","1400000US48029171200","Census Tract 1712, Bexar County, Texas"
"2858","356","1400000US48029171301","Census Tract 1713.01, Bexar County, Texas"
"4998","512","1400000US48029171302","Census Tract 1713.02, Bexar County, Texas"
"4986","550","1400000US48029171401","Census Tract 1714.01, Bexar County, Texas"
"6610","650","1400000US48029171402","Census Tract 1714.02, Bexar County, Texas"
"2609","295","1400000US48029171501","Census Tract 1715.01, Bexar County, Texas"
"5062","662","1400000US48029171502","Census Tract 1715.02, Bexar County, Texas"
"4412","482","1400000US48029171601","Census Tract 1716.01, Bexar County, Texas"
"4590","537","1400000US48029171602","Census Tract 1716.02, Bexar County, Texas"
"9093","754","1400000US48029171700","Census Tract 1717, Bexar County, Texas"
"6037","646","1400000US48029171801","Census Tract 1718.01, Bexar County, Texas"
"6400","1137","1400000US48029171802","Census Tract 1718.02, Bexar County, Texas"
"13145","1368","1400000US48029171902","Census Tract 1719.02, Bexar County, Texas"
"7351","924","1400000US48029171903","Census Tract 1719.03, Bexar County, Texas"
"7934","537","1400000US48029171912","Census Tract 1719.12, Bexar County, Texas"
"6309","672","1400000US48029171913","Census Tract 1719.13, Bexar County, Texas"
"5902","545","1400000US48029171914","Census Tract 1719.14, Bexar County, Texas"
"2322","202","1400000US48029171915","Census Tract 1719.15, Bexar County, Texas"
"9099","665","1400000US48029171916","Census Tract 1719.16, Bexar County, Texas"
